               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.019226,           0.0069033,           0.0049094,             0.98707,              0.9883,             0.99399,             0.86376,           0.0081862,           0.0027389,          0.00090346,            0.008614,            0.008614,            0.008614
                  72,            0.019376,           0.0069708,           0.0063485,             0.99128,             0.98473,             0.99347,             0.86108,           0.0079632,            0.002714,           0.0011327,           0.0085942,           0.0085942,           0.0085942
                  73,            0.019268,            0.006959,           0.0054389,             0.99175,             0.98461,             0.99407,             0.86164,           0.0079776,             0.00271,           0.0014269,           0.0085744,           0.0085744,           0.0085744
                  74,            0.019663,           0.0070696,           0.0060107,             0.99373,             0.98858,             0.99343,             0.86911,           0.0080581,           0.0026319,           0.0011604,           0.0085546,           0.0085546,           0.0085546
                  75,            0.019578,           0.0069494,           0.0050905,              0.9938,             0.97797,             0.99263,             0.86419,           0.0079292,           0.0027003,           0.0015015,           0.0085348,           0.0085348,           0.0085348
                  76,            0.019764,           0.0067213,            0.004818,             0.99287,             0.99604,              0.9946,             0.86777,           0.0079349,           0.0026323,          0.00072744,            0.008515,            0.008515,            0.008515
                  77,            0.019285,           0.0067735,           0.0045593,             0.99617,              0.9928,              0.9947,              0.8691,           0.0077917,            0.002573,          0.00084412,           0.0084952,           0.0084952,           0.0084952
                  78,            0.018793,           0.0067437,            0.004562,             0.99112,              0.9918,              0.9935,             0.87137,           0.0076658,           0.0025673,          0.00081901,           0.0084754,           0.0084754,           0.0084754
                  79,            0.018738,           0.0067277,           0.0053666,             0.99437,             0.99667,             0.99355,             0.87114,           0.0078365,           0.0025629,           0.0007933,           0.0084556,           0.0084556,           0.0084556
                  80,            0.019267,           0.0068019,           0.0046264,             0.99555,             0.99248,             0.99413,             0.87319,           0.0076134,           0.0025973,          0.00082772,           0.0084358,           0.0084358,           0.0084358
                  81,            0.018623,           0.0067783,           0.0056985,             0.99558,             0.99125,             0.99427,             0.86811,            0.007895,           0.0026929,          0.00076484,            0.008416,            0.008416,            0.008416
                  82,             0.01948,           0.0069489,           0.0052246,             0.99621,             0.98733,             0.99416,             0.86657,           0.0079068,           0.0026675,          0.00085531,           0.0083962,           0.0083962,           0.0083962
                  83,            0.019143,            0.006762,           0.0055708,             0.99486,             0.99267,             0.99419,             0.86747,           0.0078412,           0.0025727,          0.00099519,           0.0083764,           0.0083764,           0.0083764
                  84,            0.018912,           0.0068168,           0.0050271,             0.99636,             0.99473,             0.99448,               0.876,           0.0074767,           0.0025415,          0.00071691,           0.0083566,           0.0083566,           0.0083566
                  85,            0.018873,           0.0066104,           0.0048129,              0.9964,             0.99204,             0.99409,             0.87022,           0.0076813,           0.0025882,          0.00065633,           0.0083368,           0.0083368,           0.0083368
                  86,            0.018529,           0.0067846,           0.0042542,             0.99294,             0.99746,             0.99421,             0.87379,           0.0075785,           0.0025482,          0.00064719,            0.008317,            0.008317,            0.008317
                  87,            0.018419,           0.0067858,           0.0046379,             0.99529,             0.99214,             0.99423,             0.87589,           0.0075046,           0.0025122,           0.0007835,           0.0082972,           0.0082972,           0.0082972
                  88,            0.019147,           0.0066203,           0.0045316,             0.99535,              0.9916,             0.99422,              0.8742,           0.0075987,           0.0025938,          0.00070323,           0.0082774,           0.0082774,           0.0082774
                  89,            0.019293,            0.006642,           0.0050949,             0.99555,              0.9869,             0.99403,             0.87342,           0.0076081,           0.0025582,          0.00081164,           0.0082576,           0.0082576,           0.0082576
                  90,            0.018244,            0.006536,           0.0037553,             0.99606,               0.994,             0.99423,             0.87326,           0.0075986,           0.0024973,          0.00070499,           0.0082378,           0.0082378,           0.0082378
                  91,            0.018673,           0.0065681,           0.0049789,             0.98825,             0.99419,             0.99415,             0.87504,           0.0075299,            0.002537,          0.00085833,            0.008218,            0.008218,            0.008218
                  92,            0.018537,           0.0068629,           0.0050249,             0.99587,             0.99113,             0.99449,             0.87832,           0.0074884,           0.0026022,          0.00079564,           0.0081982,           0.0081982,           0.0081982
                  93,            0.018048,           0.0063893,           0.0041402,             0.99548,             0.99009,             0.99411,             0.87631,           0.0074863,           0.0024948,          0.00075597,           0.0081784,           0.0081784,           0.0081784
                  94,            0.018794,           0.0065602,           0.0044881,             0.99715,             0.98985,             0.99423,             0.87424,           0.0075819,           0.0025546,          0.00075794,           0.0081586,           0.0081586,           0.0081586
                  95,            0.018296,           0.0065411,            0.004526,             0.99679,             0.99225,             0.99424,             0.87932,           0.0073668,            0.002471,          0.00080833,           0.0081388,           0.0081388,           0.0081388
                  96,            0.018394,           0.0066732,             0.00524,             0.99357,               0.988,             0.99371,             0.87089,           0.0075884,           0.0026085,          0.00096583,            0.008119,            0.008119,            0.008119
                  97,             0.01819,            0.006698,           0.0049375,             0.99612,             0.99294,              0.9942,             0.87659,           0.0073178,           0.0025256,          0.00071641,           0.0080992,           0.0080992,           0.0080992
                  98,            0.017801,           0.0065808,            0.004101,             0.99433,             0.99223,             0.99424,             0.87931,           0.0073016,           0.0025038,           0.0007008,           0.0080794,           0.0080794,           0.0080794
                  99,            0.018484,           0.0066298,           0.0052658,             0.99527,             0.99227,             0.99414,             0.87755,           0.0074361,           0.0025267,          0.00077889,           0.0080596,           0.0080596,           0.0080596
                 100,            0.018375,           0.0064487,           0.0045334,             0.99533,             0.99075,             0.99486,             0.87728,           0.0074177,            0.002523,            0.000717,           0.0080398,           0.0080398,           0.0080398
                 101,             0.01756,           0.0062817,           0.0047174,             0.99462,             0.99386,             0.99384,             0.87948,           0.0072997,           0.0025084,          0.00076484,             0.00802,             0.00802,             0.00802
                 102,            0.018581,           0.0065729,           0.0045484,             0.99533,             0.99314,             0.99465,             0.88307,           0.0072472,           0.0024829,          0.00079721,           0.0080002,           0.0080002,           0.0080002
                 103,            0.018234,           0.0064962,           0.0045557,             0.99367,             0.99599,             0.99427,              0.8824,            0.007178,           0.0024333,          0.00066286,           0.0079804,           0.0079804,           0.0079804
                 104,            0.019119,            0.006571,            0.004343,             0.99456,              0.9928,             0.99367,             0.87654,           0.0073083,           0.0025131,          0.00077045,           0.0079606,           0.0079606,           0.0079606
                 105,            0.018119,            0.006543,            0.004525,             0.99337,              0.9869,             0.99371,             0.88443,           0.0071926,           0.0024973,          0.00096952,           0.0079408,           0.0079408,           0.0079408
                 106,             0.01812,           0.0064643,           0.0050585,             0.99447,                0.99,             0.99306,             0.88054,           0.0072621,           0.0025253,          0.00099394,            0.007921,            0.007921,            0.007921
                 107,            0.017741,            0.006344,           0.0046963,             0.98955,               0.993,             0.99353,             0.87277,           0.0073015,            0.002515,          0.00083439,           0.0079012,           0.0079012,           0.0079012
                 108,            0.017939,           0.0065429,           0.0045772,             0.99441,             0.99091,             0.99465,             0.88151,           0.0072294,           0.0024614,          0.00073236,           0.0078814,           0.0078814,           0.0078814
                 109,            0.017261,           0.0063246,           0.0034541,             0.99248,             0.98727,             0.99304,             0.88039,           0.0072889,           0.0024891,           0.0011331,           0.0078616,           0.0078616,           0.0078616
                 110,            0.017534,            0.006531,            0.004225,             0.99421,             0.98502,             0.99389,              0.8781,           0.0071665,           0.0024527,           0.0010311,           0.0078418,           0.0078418,           0.0078418
                 111,            0.017341,           0.0062353,           0.0044736,             0.99434,             0.99541,             0.99401,              0.8827,           0.0072261,           0.0024997,          0.00077693,            0.007822,            0.007822,            0.007822
                 112,            0.017441,           0.0063588,           0.0043483,             0.99344,             0.99261,             0.99403,             0.88614,           0.0070552,           0.0024601,          0.00077045,           0.0078022,           0.0078022,           0.0078022
                 113,            0.017448,           0.0063739,           0.0041621,             0.99482,             0.99115,             0.99421,             0.88527,           0.0070299,           0.0024409,          0.00084962,           0.0077824,           0.0077824,           0.0077824
                 114,            0.017576,           0.0061442,           0.0034519,             0.99603,              0.9919,             0.99421,             0.88028,           0.0072049,           0.0024573,          0.00079805,           0.0077626,           0.0077626,           0.0077626
                 115,            0.017715,            0.006323,           0.0035994,              0.9954,             0.98662,             0.99415,             0.88838,           0.0069751,           0.0024455,          0.00088399,           0.0077428,           0.0077428,           0.0077428
                 116,            0.017364,           0.0064433,           0.0036567,             0.99529,             0.98877,             0.99379,             0.88083,           0.0070581,           0.0024377,           0.0010215,            0.007723,            0.007723,            0.007723
                 117,            0.017309,           0.0064211,           0.0040531,             0.99604,             0.99058,             0.99418,             0.88492,           0.0070527,           0.0024333,          0.00084541,           0.0077032,           0.0077032,           0.0077032
                 118,            0.017636,           0.0062071,           0.0036823,             0.99073,             0.98969,             0.99479,             0.88488,            0.007074,           0.0024533,          0.00083786,           0.0076834,           0.0076834,           0.0076834
                 119,            0.017477,           0.0064125,           0.0042125,             0.99571,             0.99295,             0.99488,              0.8798,           0.0070466,           0.0024448,          0.00069808,           0.0076636,           0.0076636,           0.0076636
                 120,            0.017248,           0.0062701,           0.0042471,             0.99617,             0.99341,             0.99398,             0.88039,           0.0070753,           0.0024926,          0.00077506,           0.0076438,           0.0076438,           0.0076438
                 121,            0.017322,           0.0064101,            0.004728,             0.99464,             0.98958,             0.99407,             0.88204,           0.0071601,           0.0025016,            0.000785,            0.007624,            0.007624,            0.007624
                 122,             0.01751,           0.0064499,           0.0046147,             0.99573,             0.99148,             0.99348,             0.88423,           0.0070669,           0.0024855,          0.00073754,           0.0076042,           0.0076042,           0.0076042
                 123,            0.017125,           0.0062183,           0.0037635,             0.98927,             0.99135,             0.99353,              0.8864,           0.0069607,           0.0024318,          0.00099313,           0.0075844,           0.0075844,           0.0075844
                 124,            0.016808,           0.0061946,           0.0035039,              0.9959,             0.98416,             0.99483,              0.8889,           0.0069445,           0.0023919,          0.00094201,           0.0075646,           0.0075646,           0.0075646
